sentimen;review
positive;Letak toko strategis hanya beberapa meter dari lampu merah pertigaan
positive;Store ini menjual berbagai pakaian muslim mulai dari jilbab instan pasmina  bahkan jilbab square  disini juga menjual berbagai baju muslimah dari atasan  bawahan  bahkan gamis dari yang bahan Jersey maupun kain  juga menjual outer muslimah 
positive;Tempatnya luas dan nyaman Produk yg dipajang cukup lengkap Cuma jilbab yg ukuran XL warna hitam terbatas atau sedikit pilihannya Pelayannya ramah dlm melayani pembeli/customer
negative;maaf banget yaahh tp wktu saya kesana pelayanannya sangat tidak baik
positive;Pilihan tepat belanja pakaian muslim atau muslimah di Makassar Tempat luas dan bersih
negative;karyawannya kurang ramah atau saya datangx sdh malam sdh capek dianya
positive;Beragam pilihan gamis muslim dan muslimah
positive;Banyak koleksi jilbab terbaru
positive;Lokasinya bagus krn tepat d jln raya Lantai dasar itu jual pkaian2 muslimah hijab dll 
positive;Tolong kualitasnya jangan diturunkan yah Boleh mahal tapi kesannya seperti hanya jual merek Di makassar sudah banyak pendatang baru yang harganya sangat bersaing
positive;Jual berbagai macam pakaian muslim
positive;Tempat yang bersih nyaman produk-produknya berkualitas Pelayanan bagus Harga sesuai lah Recommended buat yang cari busana muslim atau muslimah yang good looking dan berkualitas
positive;"Berada di tepi jalan Boulevard sehingga sangat mudah dijangkau

Suasana ruangan adem, sangat bersih, item barang bervariasi, pelayanan yang ramah dan terampil"
positive;lokasi cukup strategis di kawasan jl boulevard berjejer ruko ruko bisnis yang ramai barang atau produk cukup variatif namun harganya memang  middle up dengan segmentasi produk pria wanita dewasa dan anak anak
positive;Pusat penjualan pakaian muslim dan muslimah yang update 
positive;Recommended dari segi kelengkapan (dibanding Rabbani lainnya dimakassar) tpi Tdk napackingi baju yg kubeli langsung nabungkus ji
positive;alternatif pilihan toko jilbab di kota makassar menjual jilbab untuk dewasa dan anak anak dengan koleksi yang cukup lengkap
positive;Toko yang menjual aneka pakaian dan aksesori muslim dan muslimah Produknya cukup lengkap dengan kualitas yang baik
positive;Harganya terjangkau cocok untuk anak sekolah dan remaja
positive;Alhamdulillah kain nya sangat bagus di harganya yg murah krn diskon
negative;Kasirnya sih baik tapi pelayannya tidak ramah bikin malas
negative;koleksinya masih lumayan sedikit
positive;koleksi jilbabnya lengkap free parkiran
positive;Suasananya enak dimalam hari ada penjual nasi kuning dimalam hari
negative;pelayanan nya kurang ramah barang nya sih udah ok tapi pelyanan masih kurang bagus
positive;Lokasi di pusat bisnis jadi mudah dijangkau Lengkap dan barangnya berkualitas
positive;Sangat bagus sekali harga sesuai produk dan kualitas lah
positive;Tahulah kalau Rabbani gimana kualitas Pasti bagus penataan dalamnya juga ok
positive;Pakaianx bagus saya suka dengan bahan dan motifnya
positive;Hijab simple disini ajah
positive;Bagus
positive;Puas modelnya bagus
negative;Stok jilbabnya masih kurang banyak
positive;Pusat penjualan baju muslim dan muslimah di boulevard
negative;Bagus sayang pegawainya kurang ramah dan komunikatif
positive;Banyak baju kemko terbaru
positive;Sangat luas dan banyak pilihan
positive;Tokonya bagus
positive;Ni beli pulsa doank
negative;Mohon stoknya ditambah yaaa
positive;Lengkap koleksinya
positive;Beli getuk enak didepannya
positive;Pelayanan mantap
positive;Sip lah
positive;mantap
positive;Alhamdulillah sangat bagus
positive;surga ki
positive;Kapan kapan mampir
positive;Oke
positive;Baik
positive;Suka
positive;Bagus
positive;Baik
positive;Baik
positive;Sip
positive;kemarin saya kesana belanja koleksinya cantik
positive;"ok

(Diterjemahkan oleh Google)
Oke"
positive;minasaupa blok f3 no 8
positive;Asd
positive;hargax lumayan mahal yah klo kantong mhasiswa
positive;bagus
positive;memuaskan
positive;nyaman
positive;bagus
negative;gerakan pelayanan  lambat
positive;bahan bagus
negative;pelayanan ampas
negative;tidak ramah
negative;pegawai gamussu
negative;parkiran kecil
negative;tidak ramah
positive;baik
negative;pelayanan lama
negative;kurang rapih
positive;ada harga ada kualitas
negative;harga tidak merakyat
negative;model hijab kurang
negative;stok barang sedikit
negative;produk tidak trendy
negative;pegawai kurang
negative;pegawai ramah
positive;mantap
positive;good reza
negative;sering barang yang diinginkan stoknya habis atau kurang
positive;asyik
positive;recommended
positive;bahan nyaman
positive;grosis dan eceran
positive;mantap
positive;koleksi menarik
positive;ada hijab khusus anak
positive;tersedia peci
positive;jual kudung dua layer
negative;pekarangan sempit
positive;bahan ringan
positive;nganter istri
negative;agak pengap
negative;panas
negative;ukuran sedikit
negative;mahal
