author_title;review_text;review_datetime_utc
Ririn Diwasari;"Letak toko strategis, hanya beberapa meter dari lampu merah pertigaan.
Lahan parkir luas (tanpa juru parkir)
Masuk ke dalam toko, kesan pertama:
1. Petugas ramah, langsung menyambut
2. Koleksi gamis tidak terlalu banyak model (tidak seperti yg sy liat di shopee) kalau mau pesan sprti yg di online itu harus PO dan belinya hrs lusinan :')
3. Bersih
4. Lebih banyak jilbab dan pakian anak2

Dan akhirnya mbanya mengarahkan sy ke Rabbanj ratulangi";10/02/2022 16:31:16
khusnul khatimah;Store ini menjual berbagai pakaian muslim mulai dari jilbab instan,  pasmina,  bahkan jilbab square,  disini juga menjual berbagai baju muslimah dari atasan,  bawahan,  bahkan gamis dari yang bahan Jersey maupun kain,  juga menjual outer muslimah,  tidak hanya pakaian muslimah,  pakaian cowok juga ada,  mulai dari baju koko lengan panjang dan pendek,  baju koko sampai lututpun ada,  serta menjual peci,  sejadah,  sarung  dan parfum,;05/18/2019 10:52:33
Asha Syamsuddin;Tempatnya luas dan nyaman. Produk yg dipajang cukup lengkap. Cuma jilbab yg ukuran XL warna hitam terbatas/sedikit pilihannya. Pelayannya ramah dlm melayani pembeli/customer.;08/31/2022 14:02:46
Amiqatun Nasyati Yusri;maaf bangett yaahh tp wktu saya kesana pelayanannya sangat tidak baik;03/18/2023 04:39:16
Ka Ifha;"Pilihan tepat belanja pakaian muslim/muslimah di Makassar.
Tempat luas dan bersih.";10/09/2021 20:08:30
Dwi Handayani;Tempatnya enak sih,  luas bersih barang banyak lengkap dll tapi karyawannya kurang ramah atau saya datangx sdh malam sdh capek dianya...... Saya mau bayar nontunai tdk bisa katanya mesinnya bermasalah dan saya tdk dikasih struk pembalanjaan,  besoknya ada wa dari member dan ternyata total belanja saya beda antara wa member dan yg saya bayar semalam.. Kasat mata orang rabbani tempat orang berakhlak tinggi kenapa bisa begini karyawannya.....;02/28/2022 10:53:46
Adi Al-Atsary;Beragam pilihan gamis muslim dan muslimah;03/19/2023 02:01:57
Anita Zae_Seqaff;Banyak koleksi jilbab terbaru..;07/29/2019 07:08:20
dakwah Sunnah;Lokasinya bagus krn tepat d jln raya..  Lajtai dasar itu jual pkaian2 muslimah,  hijab dll..  Hargax lumayan mahal yah klo kantong mhasiswa..  Yg berduit bsa beli dsini sih..  Di sediakan  ruang gnti jga..  Lntai 2 dan 3 ruang khusus. Biasax di pke buat acara2..  Kmrin z ke sana lntai 3 ada acara tabligh. Sumpah panasss banget..  Jendela cuma 1 smentara puluhan org.. Padat bnget,  gerah,  panas dan kipas angin yg di sediakan cm bberapa aja..  Jd bg yg mw buat acara2 gitu,  pkai lantai 2 dan 3 itu mnurut aku gak efektif bnget..  Tp klo buat blanja yah silahkan aja sist;11/07/2018 06:53:26
sam winaldi junaib;Tolong kualitasnya jangan diturunkan yah. Boleh mahal tapi kesannya seperti hanya jual merek. Di makassar sudah banyak pendatang baru yang harganya sangat bersaing.;06/22/2021 02:14:05
Rara Scooterist;Jual berbagai macam pakaian muslim;06/11/2019 18:44:04
Izzatul Fathiyah;"Tempat yang bersih, nyaman, produk-produknya berkualitas. Pelayanan bagus. Harga sesuai lah..
Recommended buat yang cari busana muslim/muslimah yang good looking dan berkualitas.";05/01/2019 07:19:18
Basri Mocasaress;"Berada di tepi jalan Boulevard, shg sangat mudah dijangkau

Suasana ruangan adem, sangat bersih, item barang bervariasi, pelayanan yang ramah dan terampil";07/11/2021 10:32:27
siti c salim;lokasi cukup strategis di kawasan jl boulevard berjejer ruko ruko bisnis yang ramai, barang / produk cukup variatif namun harganya memang  middle up, dengan segmentasi produk pria wanita dewasa dan anak anak;06/30/2019 09:34:49
Thamrin Taha;Pusat penjualan pakaian muslim dan muslimah yang update dan saat ini diskon 50% hingga tgl 30 November 2020;11/29/2020 08:32:31
ahmad nur aliem;Recommended dari segi kelengkapan (dibanding Rabbani lainnya dimakassar), tpi Tdk napackingi baju yg kubeli, langsung nabungkus ji. ??;07/12/2019 13:19:04
misbakhul fajri;alternatif pilihan toko jilbab di kota makassar. menjual jilbab untuk dewasa dan anak2 dengan koleksi yang cukup lengkap;12/06/2019 22:38:06
Iccank Pajokka;Toko yang menjual aneka pakaian dan aksesori muslim dan muslimah. Produknya cukup lengkap dengan kualitas yang baik.;10/18/2019 10:33:14
Marlina Nina;Harganya terjangkau, cocok untuk anak sekolah dan remaja;05/24/2022 07:59:32
Jiwa Dakwah;Alhamdulillah, kain nya sangat bagus di harganya yg murah krn diskon;05/21/2020 14:10:05
Patmasari Andi;Kasirnya sih baik, tapi pelayannya tidak ramah & bikin malas.;09/02/2021 15:26:32
aang andi;koleksinya masih lumayan sedikit..;05/25/2019 05:14:20
michan woo;koleksi jilbabnya lengkap. free parkiran;03/15/2022 06:22:15
Haedar AL;Suasananya enak dimalam hari, ada penjual nasi kuning dimalam hari;03/25/2021 13:16:39
Dea Pati Rengo;pelayanan nya kurang ramah, barang nya sih udah ok tapi pelyanan masih kurang bagus;12/08/2019 07:22:28
Rahmah Tya Nuhung;Lokasi di pusat bisnis jadi mudah dijangkau. Lengkap dan barang2nya berkualitas.;05/29/2019 03:01:53
ayu lestari;Sangat bagus sekali, harga sesuai produk & kualitas lah;12/14/2019 13:33:53
Nurlaela Laela;Tahulah, kalau Rabbani gimana kualitas. Pasti bagus penataan dalamnya juga ok;03/16/2019 06:59:38
Andriani Ani;Pakaianx bagus2 saya suka dengan bahan dan motifnya;09/20/2019 23:23:18
Bunga Mawar;Hijab simple disini ajah;09/16/2019 13:12:22
Andi Kasman Amin;Bagus;10/06/2022 03:39:16
Toyota Ft 86;Puas model2nya;07/14/2022 11:52:33
