sentimen;review
positive;Letak toko strategis hanya beberapa meter dari lampu merah pertigaan.
positive;Store ini menjual berbagai pakaian muslim mulai dari jilbab instan  pasmina  bahkan jilbab square  disini juga menjual berbagai baju muslimah dari atasan awahan bahkan 
positive;Tempatnya luas dan nyaman. Produk yg dipajang cukup lengkap. Cuma jilbab yg ukuran XL warna hitam terbatas/sedikit pilihannya. Pelayannya ramah dlm melayani pembeli/customer.
negative;maaf bangett yaahh tp wktu saya kesana pelayanannya sangat tidak baik
positive;Pilihan tepat belanja pakaian muslimmuslimah di Makassar.
negative;Tempatnya enak sih luas bersih barang banyak lengkap dll tapi karyawannya kurang ramah atau saya datangx sdh malam sdh capek dianya...... Saya mau bayar nontunai tdk bisa katanya mesinnya bermasalah dan saya tdk dikasih struk pembalanjaan,  besoknya ada wa dari member dan ternyata total belanja saya beda antara wa member dan yg saya bayar semalam.. Kasat mata orang rabbani tempat orang berakhlak tinggi kenapa bisa begini karyawannya
positive;Beragam pilihan gamis muslim dan muslimah
positive;Banyak koleksi jilbab terbaru..
positive;Lokasinya bagus krn tepat d jln raya..  Lajtai dasar itu jual pkaian2 muslimah,  hijab dll..  Hargax lumayan mahal yah klo kantong mhasiswa..  Yg berduit bsa beli dsini sih..  Di sediakan  ruang gnti jga..  Lntai 2 dan 3 ruang khusus. Biasax di pke buat acara2..  Kmrin z ke sana lntai 3 ada acara tabligh. Sumpah panasss banget..  Jendela cuma 1 smentara puluhan org.. Padat bnget,  gerah,  panas dan kipas angin yg di sediakan cm bberapa aja..  Jd bg yg mw buat acara2 gitu,  pkai lantai 2 dan 3 itu mnurut aku gak efektif bnget..  Tp klo buat blanja yah silahkan aja sist
positive;Tolong kualitasnya jangan diturunkan yah. Boleh mahal tapi kesannya seperti hanya jual merek. Di makassar sudah banyak pendatang baru yang harganya sangat bersaing.
positive;Jual berbagai macam pakaian muslim
positive;Tempat yang bersih nyaman produk-produknya berkualitas. Pelayanan bagus. Harga sesuai lah. Recommended buat yang cari busana muslim/muslimah yang good looking dan berkualitas.
positive;"Berada di tepi jalan Boulevard, shg sangat mudah dijangkau

Suasana ruangan adem, sangat bersih, item barang bervariasi, pelayanan yang ramah dan terampil"
positive;lokasi cukup strategis di kawasan jl boulevard berjejer ruko ruko bisnis yang ramai  barang / produk cukup variatif namun harganya memang  middle dengan segmentasi produk pria wanita dewasa dan anak anak
positive;Pusat penjualan pakaian muslim dan muslimah yang update dan saat ini diskon 50% hingga tgl 30 November 2020
positive;Recommended dari segi kelengkapan  tpi Tdk napackingi baju yg kubeli, langsung nabungkus ji
positive;alternatif pilihan toko jilbab di kota makassar. menjual jilbab untuk dewasa dan anak2 dengan koleksi yang cukup lengkap
positive;Toko yang menjual aneka pakaian dan aksesori muslim dan muslimah. Produknya cukup lengkap dengan kualitas yang baik.
positive;Harganya terjangkau  cocok untuk anak sekolah dan remaja
positive;Alhamdulilla kain nya sangat bagus di harganya yg murah krn diskon
negative;Kasirnya sih baik tapi pelayannya tidak ramah & bikin malas.
negative;koleksinya masih lumayan sedikit..
positive;koleksi jilbabnya lengkap. free parkiran
positive;Suasananya enak dimalam hari ada penjual nasi kuning dimalam hari
negative;pelayanan nya kurang ramah barang nya sih udah ok tapi pelyanan masih kurang bagus
positive;Lokasi di pusat bisnis jadi mudah dijangkau. Lengkap dan barang2nya berkualitas.
positive;Sangat bagus sekali harga sesuai produk & kualitas lah
positive;Tahulah  kalau Rabbani gimana kualitas. Pasti bagus penataan dalamnya juga ok
positive;Pakaianx bagus2 saya suka dengan bahan dan motifnya
positive;Hijab simple disini ajah
positive;Bagus
positive;Puas model2nya
negative;Stok jilbabnya masih kurang banyak
positive;Pusat penjualan baju muslim dan muslimah di boulevard
negative;Bagus sayang pegawainya kurang ramah dan komunikatif
positive;Banyak baju kemko terbaru....
positive;Sangat luas dan banyak pilihan
positive;Tokonya bagus
positive;Ni beli pulsa doank
negative;Mohon stoknya ditambah yaaa
positive;Lengkap koleksinya
positive;Beli getuk enak didepannya
positive;Pelayanan mantap
positive;Sip lah
positive;mantap
positive;Alhamdulillah sangat bagus
positive;surga ki
positive;Kapan kapan mampir
positive;Oke
positive;Baik
positive;Suka
positive;Bagus
positive;Baik
positive;Baik
positive;Sip
positive;Minggu lalu saya berbaur dengan ratusan adik-adik peserta Lomba Mewarnai Taman Kanak-Kanak yang diadakan Toko Rabbani Makassar.
positive;"ok

(Diterjemahkan oleh Google)
Oke"
positive;minasaupa blok f3 no 8
positive;Asd
positive;"Good

(Diterjemahkan oleh Google)
Bagus"
positive;amazing
positive;Nice
positive;Good
positive;Good
negative;gerakan pelayanan  lambat
positive;bahan bagus
negative;pelayanan ampas
negative;tidak ramah
negative;pegawai gamussu
negative;parkiran kecil
negative;tidak ramah
positive;baik
negative;pelayanan lama
negative;kurang rapih
positive;ada harga ada kualitas
negative;harga tidak merakyat
negative;model hijab kurang
negative;stok barang sedikit
negative;produk tidak trendy
negative;pegawai kurang
negative;pegawai ramah
positive;mantap
positive;good reza
negative;sering barang yang diinginkan stoknya habis atau kurang
positive;asyik
positive;recommended
positive;bahan nyaman
positive;grosis dan eceran
positive;mantap
positive;koleksi menarik
positive;ada hijab khusus anak
positive;tersedia peci
positive;jual kudung 2 layer
negative;pekarangan sempit
positive;bahan ringan
positive;nganter istri
negative;agak pengap
negative;panas
negative;ukuran sedikit
negative;mahal
